Food_Name,GI,GL,Serving_Size,Carbs_per_Serve,Category
"100% Whole Grain™ bread (Natural Ovens, USA) #",51,,,,15
"25 g Xylitol C (Danisco Sweeteners, UK) #",8,,,,2.5
25 g xylitol #,7,,,,2.5
45% oat bran and 50% wheat flour bread #,51,,,,15
50% oat bran and 50% wheat flour bread #,45,,,,15
"50/50 Feta protein bar, chocolate biscuit with orange flavor, organic (Eatwalk Hellas, Greece) #",5,,,,25
75% cracked wheat kernels #,49,,,,15
"Acacia aneura (mulga seed) roasted, wet ground to paste #",8,,,,35
Acacia honey (provided by German beekeeper association) #,53,,,,5
"Acorns (Quercus emoryi), stewed with venison #",16,,,,35
"Adzuki beans (Vigna angularis var. angularis), pre-soaked at 4o°C for 12 h, steamed for 70 min #",29,,,,15
"Adzuki beans (Vigna angularis var. angularis), pre-soaked at 4°C for 12 h, steamed for 40 min #",21,,,,15
AF-BRAVO fibre powder( prepared with water),19,,,,2.7
AF-FAB fibre powder (prepared with water),27,,,,2.2
AF-RISE fibre powder (prepared with water),20,,,,0.7
AF-WITTY fibre powder (prepared with water),16,,,,2.9
Aged Care Complete Nutritional Milk Powder,26,,,40.0,20.4
All-Bran Fruit 'n Oats™,41,,,,20
All-Bran Soy 'n Fiber™,33,,,,20
"All-Bran™ (Kellogg's Inc., Canada) #",51,,,,20
"All-Bran™ (Kellogg's Inc., South Korea) #",51,,,,20
"All-Bran™ (Kellogg's, Battle Creek, MI, USA) #",38,,,,20
"All-Bran™, high-fiber, extruded wheat bran cereal (Kellogg's Inc., Etobicoke, Canada) #",51,,,,20
Almond Chocolate,24,,,,25
"Apple and blackcurrant juice, no added sugar",45,,,,15
"Apple and cherry juice, pure, unsweetened",43,,,,15
"Apple and mandarin juice, pure, unsweetened",47,,,,15
"Apple and mango juice, pure, unsweetened",47,,,,15
Apple baby food,46,,,,10
Apple baby food #,28,,,,10
Apple baby food #,54,,,,10
Apple baby food #,54,,,,10
"Apple Cinnamon bar, Fruit & Yogurt Apple Cinnamon Chewy Bars (Soy), President's Choice® Blue Menu™",34,,,,25
"Apple juice, Granny Smith, unsweetened",44,,,,15
"Apple juice, pure, clear, unsweetened",44,,,,15
"Apple juice, pure, cloudy, unsweetened",37,,,,15
"Apple juice, unsweetened #",41,,,,20
"Apple juice, unsweetened (Allens, Toronto, Canada) #",42,,,,20
"Apple juice, unsweetened, reconstituted",39,,,,15
"Apple, Braeburn #",32,,,,15
"Apple, dried",29,,,,15
"Apple, Golab, raw #",39,,,,15
"Apple, Golden Delicious #",39,,,,15
"Apple, Green, raw #",41,,,,15
"Apple, NS #",28,,,,15
"Apple, NS #",41,,,,15
"Apple, NS #",34,,,,15
"Apple, NS #",40,,,,15
"Apple, NS #",45,,,,15
"Apple, pear and cinnamon fruit puree, homemade, puree consistency",29,,,,10
"Apple, Pear and Cinnamon fruit puree, Rafferty’s Garden, for ages 4 – 6 months, commercial",44,,,,10
"Apple, pineapple and passionfruit juice, unsweetened",48,,,,15
"Apples, canned in juice",42,,,,15
"Apples, dried (Malus pumila Mill.)",43,,,,15
"Apples, raw",44,,,,15
"Apricot & apple fruit strips, gluten-free",29,,,,25
"Apricot & Yoghurt Healtheries Simple Bar, wheat and gluten-free",40,,,,25
"Apricot 100% Fruit Spread, Cottees™",50,,,,15
"Apricot 100% Pure Fruit spread, no added sugar",43,,,,15
Apricot and Almond bar,34,,,,25
"Apricot fruit spread, reduced sugar",55,,,,15
Apricot Halves canned in fruit juice,51,,,,15
"Apricot Temptation fruit cookies, 97% fat-free",47,,,,20
"Apricots, dried #",30,,,,15
"Apricots, dried (Wasco foods, Montreal, Canada) #",33,,,,15
"Apricots, dried, ready to eat #",31,,,,15
"Apricots, dried, ready to eat, bite size",32,,,,15
"Apricots, NS #",50,,,,15
"Apricots, raw, NS",34,,,,15
"Apricots, raw, NS",42,,,,15
Arabinose Sugar (95% sucrose + 5% L-arabinose),52,,,,5
"Arrowroot (Maranta Arundinaceae) cookies, containing cinnamon (Cinnamomum verum) and porang (Amorphophallus oncophyllus) glucomannan, My Cookies® #",48,,,,20
AU KingCare Golden Age Nutritional Milk powder,21,,,,20.4
"Aussie Bodies Trim Protein Shake, Chocolate flavored",39,,,,20
"Aussie Bodies Trim Protein Shake, French Vanilla flavored",41,,,,20
Avani SA Formula,20,,,,17.4
Baked Beans in Barbecue sauce,47,,,,15
Baked Beans in Cheesy Tomato sauce,44,,,,15
Baked Beans in Ham sauce,53,,,,15
"Baked Beans in Mild Curry sauce (HJ Heinz, Australia) #",49,,,,15
Baked Beans in Sweet Chilli sauce,46,,,,15
Baked Beans in Tomato sauce,40,,,,15
"Baked Beans, canned #",40,,,,15
"Baked Beans, Heinz Vegetarian baked haricot beans (HJ Heinz Company, Dandenong, VIC, Australia) #",40,,,,15
Banana (Musa paradisiaca) #,44,,,,15
"Banana (Musa spp.), anamalu-Gros Michel AAA variety, ripe, raw #",48,,,,15
"Banana (Musa spp.), embul-Mysore AAB variety, ripe, raw #",43,,,,15
"Banana (Musa spp.), Kolikuttu-Silk AAB variety, ripe, raw #",43,,,,15
"Banana (Musa spp.), seeni kesel-Pisang Awak ABB variety, ripe, raw #",49,,,,15
Banana Chapa kola variety (Musa sp.) #,30,,,,15
"Banana, honey and malt flavored milk",31,,,,20
"Banana, lady finger",49,,,,15
"Banana, lady finger",53,,,,15
"Banana, NS #",35,,,,15
"Banana, NS #",41,,,,15
"Banana, NS #",47,,,,15
"Banana, NS #",49,,,,15
"Banana, over-ripe (yellow flecked with brown) #",48,,,,15
"Banana, over-ripe (yellow with 1-2 mm brown spots) #",53,,,,15
"Banana, raw",47,,,,15
"Banana, ripe (all yellow) #",51,,,,15
"Banana, slightly under-ripe (yellow with green sections) #",42,,,,15
"Banana, slightly under-ripe (yellow with green tips) #",41,,,,15
"Banana, under-ripe (yellow with some green skin) #",31,,,,15
Barley #,22,,,,45
"Barley bread, 70% high-amylose barley flour and 30% white wheat flour, baked 20 h at low temperature of 120oC10 #",50,,,,15
"Barley flour porridge, made from milled dehulled barley kernels (flour:water = 1:3) boiled for 2.5 min #",46,,,,20
"Barley flour porridge, made from milled high-amylose (covered) barley kernels (flour:water = 1:3), boiled for 2.5 min #",39,,,,20
"Barley kernel bread, 50% barley kernels and 50% barley flour #",44,,,,15
"Barley kernel bread, 50% kibbled barley and 50% wheat flour #",49,,,,15
"Barley kernels, high-amylose (hull-less) boiled in water for 25 min (kernel:water = 1:2.5) #",21,,,,45
"Barley kernels, waxy (hull-less), boiled in water for 25 min (kernel:water = 1:2.5) #",22,,,,45
"Barley tortilla, made with bran flour (high ß-glucan/low insoluble dietary fiber) and water, frozen and reheated #",23,,,,15
"Barley tortilla, made with bran flour (medium ß-glucan/high insoluble dietary fiber) and water, frozen and reheated #",41,,,,15
"Barley tortilla, made with high-amylose dusted flour fractions (medium ß-glucan/low insoluble dietary fiber) and water, frozen and reheated #",39,,,,15
"Barley tortilla, made with straight-grade barley flour (low ß-glucan/low insoluble dietary fiber) and water, frozen and reheated #",52,,,,15
"Barley Vegetable Instant soup, low-fat, President's Choice® Blue Menu™",41,,,,20
"Barley vegetable soup, containing 40% barley and 60% pigmented vegetables #",36,,,,20
"Barley, CDC Fibar cultivar (two-rowed, hull-less, waxy barley; low amylose, high ß-glucan) whole grain (only the husk was removed), boiled for 25 min",22,,,,45
"Barley, Celebrity cultivar (six-rowed, hulled, normal barley; high amylose, medium ß-glucan), pot pearled (all of the bran and most of the germ removed), boiled for 30 min",22,,,,45
"Barley, Celebrity cultivar (six-rowed, hulled, normal barley; high amylose, medium ß-glucan), whole grain (only the husk was removed), boiled for 25 min",21,,,,45
"Barley, pearled #",23,,,,45
"Bavarian (mousse filling on biscuit base), Chocolate honeycomb, light",31,,,,30
"BBQ Shapes, savory crackers",48,,,,15
"Beans (Vigna unguiculata L. Walp), drum variety, boiled for 2 h17 #",18,,,,15
"Beans (Vigna unguiculata L. Walp), oloyin variety, boiled for 2 h17 #",12,,,,15
"Beans (Vigna unguiculata L. Walp), Sokoto white variety, boiled for 2 h17 #",12,,,,15
"Beans, dried, boiled, NS #",20,,,,15
"Beans, dried, boiled, NS #",37,,,,15
Bebe Dobre Rano Chocolate,46,,,,20
Bebe Dobre Rano Chocolate,46,,,,20
Bebe Dobre Rano Coconut,48,,,,20
Bebe Dobre Rano Four Cereals,51,,,,20
Bebe Dobre Rano Honey and Hazelnuts,51,,,,20
Bebe Dobre Rano Nuts and Honey,41,,,,20
Bebe Dobre Rano Nuts and Honey,45,,,,20
Bebe Dobre Rano with Milk,50,,,,20
"Beef and white beans infant meal, canned, heated in microwave #",34,,,,10
"Bengal gram dhal, chickpea, boiled #",11,,,,15
BenoGold Ready-to-mix Nutrition,54,,,10.0,4.5
"Berry compote, organic",44,,,,15
Bestore Probiotics Daily Nuts,36,,,,5
Better Choice Multicereals,51,,,,20
Better Choice Wholegrain,46,,,,20
"Biobread, made from whole wheat flour, wheat bran, rye flour, soy powder and linseed powder #",50,,,,15
"Bircher Muesli, Carman’s Natural",48,,,,20
"Biscotti, made with 100% whole wheat flour #",45,,,,20
"Biscotti, made with 100% whole yellow pea flour (Best Cooking Pulses Inc, MB, Canada) #",32,,,,20
"Biscuit, Danone, NS",39,,,,20
"Biscuit, Danone, NS",47,,,,20
"Biscuit, made from 100% pigeon pea (Cajanus cajan fabaceae) flour, flavored with ginger #",41,,,,20
"Biscuit, made from 50% pigeon pea (Cajanus cajan fabaceae) flour and 50% wheat flour, flavored with ginger #",51,,,,20
"Biscuit, made from 75% pigeon pea (Cajanus cajan fabaceae) flour and 25% wheat flour, flavored with ginger #",45,,,,20
"Biscuit, plain, containing 12% Pleurotus sajor-caju powder",47,,,,20
"Biscuit, plain, containing 4% Pleurotus sajor-caju powder",52,,,,20
"Biscuit, plain, containing 8% Pleurotus sajor-caju powder",49,,,,20
"Biscuits, containing 9.9 g highly viscous fiber blend (70% glucomannan, 30% xanthan) (Dicofarm Spa, Rome, Italy) #",26,,,,20
"Biscuits, containing 9.9 g highly viscous fiber blend (70% glucomannan, 30% xanthan) (Dicofarm Spa, Rome, Italy) #",18,,,,20
"Biscuits, made with 40% oat flakes and maltitol #",33,,,,20
"Biscuits, made with 40% oat flakes, maltitol and 4% inulin #",46,,,,20
"Biscuits, plain, sweet #",44,,,,20
"Biscuits, plain, sweet, enriched with fiber blend (70% inulin, 20% guar gum, 5% glucomannan and 5% wheat fiber) #",26,,,,20
"Biscuits, rolled oat, wholemeal wheat flour, wheat fibre",49,,,,20
"Biscuits, wheat flour, butter, cream",52,,,,20
"Biscuits, wholegrain, filled with peanut butter",44,,,,20
"Black bean (Phaseolus vulgaris Linn), soaked overnight, cooked 40 min #",20,,,,15
"Black Bean with Vegetables soup, spicy, President's Choice® Blue Menu™",46,,,,20
Black Beans #,31,,,,15
"Black gram, (Phaseolus mungo), soaked 12 h, stored moist 24 h, steamed 1 h #",43,,,,15
"Blackberry 100% Fruit Spread, Cottees™ brand",46,,,,15
"Blackberry Sour Buzz dried fruit leather, Sunripe School Straps",35,,,,25
"Blackeyed beans, boiled in water with 2 g salt #",33,,,,15
"Blackeyed beans/peas (Cowpeas), boiled #",50,,,,15
"Blackeyed peas (Vigna unguiculata), boiled #",52,,,,15
"Blackeyed peas (Vigna unguiculata), boiled, consumed with 4.24 g salt #",38,,,,15
"Blueberries (sour cherry), raw #",28,,,,15
"Blueberries, wild",53,,,,15
"Blueberry jam, organic blueberry, with apple juice",51,,,,15
"Boiled cracked spaghetti (ICA Italia) served with commercially canned meat sauce (Felix Kottfarsas Original, Orkla Foods, Eslov, Sweden), heated in microwave #",27,,,,10
"Bolognese pasta meal (cracked spaghetti with minced meat and vegetables), microwave heat-treated for pasteurization, heated in microwave before consumption #",43,,,,10
"Bran Buds with psyllium (Kellogg's Inc., Canada) #",48,,,,20
"Bran cereal, high fiber",43,,,,20
Branflakes,50,,,,20
Bread made from 30% finger millet (PRM-601) flour and 70% refined wheat flour #,43,,,,15
Bread made from 30% finger millet (VL-146) flour and 70% refined wheat flour16 #,41,,,,15
Bread made from 30% foxtail millet flour and 70% refined wheat flour #,50,,,,15
"Bread stick, Grissini Fibra Activa (with psyllium and oat)",52,,,,15
"Bread, decreased GI variant (sugar-to-flour ratio: 0.0)",40,,,,15
"Bread, fibre-enriched flour (Pan Bauletto Fior di Fibra, Mulino Bianco)",53,,,,15
"Bread, made from 80% wheat flour and 20% jatoba?-do-cerrado (Hymenaea stigonocarpa Mart.) flour #",54,,,,15
"Bread, made from Hi-Maize® wholegrain corn flour (Ingredion, Bridgewater, NJ, USA), white wheat flour and 6% added medium molecular weight guar gum (MEYPRODOR®50, Danisco A/S, Denmark), prepared in an automatic bread machine, frozen and thawed #",42,,,,15
"Bread, made from Hi-Maize® wholegrain corn flour (Ingredion, Bridgewater, NJ, USA), white wheat flour and 9% added medium molecular weight guar gum (MEYPRODOR®50, Danisco A/S, Denmark), prepared in an automatic bread machine, frozen and thawed #",48,,,,15
"Bread, made from wheat flour and freeze-dried okara, a by-product of soy beans (Glycine max L.) #",49,,,,15
"Bread, made from wheat flour with 2.25 g oat ß-glucan incorporated into the test portion (5 g oat ß-glucan/100 g wheat flour), steamed #",53,,,,15
"Bread, rye and whole wheat flours, enriched with 2% oat ß-glucan #",27,,,,15
"Bread, rye made from endosperm rye flour (Lantma?nnen R&D, Ja?rna, Sweden), frozen and thawed #",55,,,,15
"Bread, rye, made from 75% endosperm rye flour (Lantma?nnen R&D, Ja?rna, Sweden) and 25% wheat flour, frozen and thawed #",45,,,,15
"Bread, rye, made from 75% whole grain rye flour (Lantma?nnen R&D, Ja?rna, Sweden) and 25% wheat flour, frozen and thawed #",50,,,,15
"Bread, rye, made from 75% whole grain rye flour (Lantma?nnen R&D, Ja?rna, Sweden), 25% wheat flour and lactic acid (88-92% extra purity, Riedel-de Hae?n, Morris Township, NJ, USA), frozen and thawed #",53,,,,15
"Bread, rye, made from endosperm rye flour (Lantma?nnen R&D, Ja?rna, Sweden) with lactic acid (88-92% extra purity, Riedel-de Hae?n, Morris Township, NJ, USA), frozen and thawed #",45,,,,15
"Bread, rye, made from whole grain rye flour (Lantma?nnen R&D, Ja?rna, Sweden) with lactic acid (88-92% extra purity, Riedel-de Hae?n, Morris Township, NJ, USA), frozen and thawed #",45,,,,15
"Bread, sliced, soft wheat flour, low GI and high fiber (Pane a fette a basso indice glicemico e ad alto contenuto di fibre)",41,,,,15
"Bread, steamed, made from wheat flour and freeze-dried okara, a soy bean by-product (Glycine max L.) #",54,,,,15
"Bread, white wheat, with chromium-enriched yeast #",24,,,,15
"Bread, whole wheat, with chromium-enriched yeast #",44,,,,15
"Bread, wholegrain, made from higher amylose (38%) wheat, with added lactic acid, baked at pumpernikel conditions (20 h, 120oC) #",50,,,,15
"Breadfruit (Artocarpus altilis), peeled, cubed, boiled for 45 min, served with 20 g coconut scrapings #",51,,,,15
"Breadfruit, peeled, boiled 10 min",47,,,,15
"Breakfast biscuit (Frollino), gluten free",37,,,,20
"Breast milk, human, reduced-fat (1.5% fat w/v), pasteurized (Arla Foods, Stockholm, Sweden) #",40,,,,10
"Breast milk, human, unpasteurized",38,,,,10
Brown beans #,38,,,,15
"Brown beans, dried, soaked overnight, cooked in water with 2 g salt, tested in young adults (17-18 y) #",24,,,,15
"Buckwheat bread, 50% dehusked buckwheat groats and 50% white wheat flour #",47,,,,15
"Burn-it™ bars, Chocolate deluxe (Worldwide Sport Nutritional Supplements Inc., Largo, FL, USA) #",29,,,,20
"Burn-it™ bars, Peanut butter (Worldwide Sport Nutritional Supplements Inc., Largo, FL, USA) #",23,,,,20
"Burrito (made from scrambled eggs, tomato, onions, vegetable oil, boiled pinto beans and flour tortilla) consumed with nopales (prickly pear cactus) #",29,,,,35
"Butter beans, boiled in water with 2 g salt #",36,,,,15
"Butter beans, canned, drained, Edgell's™ brand",36,,,,15
"Butter beans, dried, boiled + 10 g sucrose #",31,,,,15
"Butter beans, dried, boiled + 15 g sucrose #",54,,,,15
"Butter beans, dried, boiled + 5 g sucrose #",30,,,,15
"Butter beans, dried, soaked overnight, boiled 50 min #",26,,,,15
"Butter beans, dried, soaked overnight, cooked in water with 2 g salt, tested in young adults (17-18 y) #",28,,,,15
"Butter beans, dried, soaked, cooked 1.25 h #",29,,,,15
"Butternut pumpkin, boiled",51,,,,20
"Butterscotch, 1.9% fat, prepared from commercial mousse mix with water",36,,,,20
"Cake, NS, decreased GI variant, sugar-to-flour ratio: 0.80",20,,,,30
"Cannellini beans, canned, drained, Edgell's™ brand",31,,,,15
"Capilano Premium Honey, blend of eucalypt & floral honeys",51,,,,5
"Carob (ceratonia siliqua L) (Carob House, Brazil), consumed as tablets #",39,,,,25
Carob (Ceratonia siliqua) snack,40,,,,25
"Carrot juice, freshly made",43,,,,15
"Carrot soup, President's Choice® Blue Menu™ Soupreme",35,,,,20
Carrots (Daucas carota) #,23,,,,20
"Carrots, diced, frozen (Talleys Group Ltd)",31,,,,20
"Carrots, peeled, boiled #",33,,,,20
"Carrots, peeled, diced, boiled #",49,,,,20
"Carrots, raw #",16,,,,20
"Carrots, raw, diced #",35,,,,20
"Carrots, raw, ground #",39,,,,20
"Carrots, unpeeled, boiled",32,,,,20
Cashew nut halves #,27,,,,5
Cashew nuts #,25,,,,5
"Cashew nuts, organic, roasted and salted #",25,,,,5
"Cashew nuts, roasted and salted #",27,,,,5
"Cashew nuts, salted",22,,,,5
"Cassava, boiled, with salt #",46,,,,20
"Castanospermum australe (blackbean seed), sliced, soaked 1 wk, pounded and baked #",8,,,,35
"Cereal bar, cranberry flavor",42,,,,20
"Cereal bar, hazelnut flavor",33,,,,20
"Cereal bar, orange flavor",33,,,,20
"Chapatti, baisen #",28,,,,35
"Chapatti, unleavened flatbread, made from whole-wheat flour #",54,,,,15
"Chapatti, unleavened flatbread, made from whole-wheat flour and Barley Balance (Polycell Technologies, MN, USA) containing 2 g high-molecular-weight barley ß-glucan #",54,,,,15
"Chapatti, unleavened flatbread, made from whole-wheat flour and Barley Balance (Polycell Technologies, MN, USA) containing 4 g high-molecular-weight barley ß-glucan #",31,,,,15
"Chapatti, unleavened flatbread, made from whole-wheat flour and Barley Balance (Polycell Technologies, MN, USA) containing 6 g high-molecular-weight barley ß-glucan #",45,,,,15
"Chapatti, unleavened flatbread, made from whole-wheat flour and Barley Balance (Polycell Technologies, MN, USA) containing 8 g high-molecular-weight barley ß-glucan #",29,,,,15
"Cherries, raw #",29,,,,15
"Cherries, raw, sour #",22,,,,15
"Cherries, sour, pitted, canned",41,,,,15
"Chestnuts, baked for 30 min #",54,,,,5
"Chicken & Vegetable with wholegrain pasta, Country Ladle®",43,,,,20
Chicken and mushroom soup #,46,,,,20
"Chickpea flour bread, made from Amethyst-type desi chickpeas (JK International Pty Ltd, Rocklea, Australia) #",55,,,,15
"Chickpea Hommus dip, Chris' Traditional brand",22,,,,15
"Chickpea, dried, soaked overnight, boiled for 40 min #",23,,,,15
Chickpeas,28,,,,15
Chickpeas #,33,,,,15
"Chickpeas (Cicer arietinum Linn), dried, soaked, boiled 35 min #",10,,,,15
"Chickpeas (Cicer arietinum), soaked overnight, boiled, cooled overnight, microwaved #",5,,,,15
"Chickpeas (Cicer arietinum), soaked overnight, boiled, cooled overnight, microwaved #",6,,,,15
"Chickpeas (Garbanzo beans, Bengal gram), canned, drained, Edgell's™ brand",38,,,,15
"Chickpeas, boiled in salted water #",36,,,,15
"Chickpeas, boiled in water with 2 g salt #",36,,,,15
"Chickpeas, brown, Chana dhal, boiled in salted water #",13,,,,15
"Chickpeas, canned in brine (Lancia-Bravo Foods Ltd., Toronto, Canada) #",43,,,,15
"Chickpeas, canned, drained, Edgell",35,,,,15
"Chickpeas, canned, drained, heated in microwave for 90 sec (Giant Chickpeas with Chilies, Al-Daniah, Kuwait)38 #",51,,,,15
"Chickpeas, curry, canned (Canasia Foods Ltd., Scarborough, Canada) #",41,,,,15
"Chickpeas, dried, boiled #",31,,,,15
"Chickpeas, dried, roasted (‘chicknuts’)",39,,,,15
"Chico (Zapota zapotilla coville), raw #",40,,,,15
"Choc Banana flavored drink, Aussie Bodies Start the Day UHT",24,,,,25
"Chocolate candy, sugar free, Dove®",23,,,,25
Chocolate Cherry Almond bar,22,,,,25
"Chocolate chip cookies, containing wheat flour and coconut flour",44,,,,20
"Chocolate chip cookies, containing wheat flour and coconut flour #",51,,,,20
"Chocolate coated chocolate soaked cookie, Galbo Chocolate",37,,,,25
"Chocolate Daydream™ shake, fructose (Revival Soy®)",33,,,,25
"Chocolate Daydream™ shake, sucralose (Revival Soy®, Physicians Pharmaceuticals, Inc, USA) (70 g powder + 500 mL water) #",25,,,,25
"Chocolate flavored drink, Aussie Bodies Start the Day UHT",26,,,,25
"Chocolate Healtheries Simple bar, wheat and gluten free",35,,,,25
Chocolate Kouka Almond,33,,,,25
Chocolate Kouka Cacao 72%,29,,,,25
Chocolate Kouka Cacao 86%,18,,,,25
Chocolate Kouka Macadamia,25,,,,25
"Chocolate Liquid Breakfast, Devondale Fast Start",39,,,,25
Chocolate weight management bar,29,,,,20
Chocolate weight management drink #,23,,,,20
Chocolate weight management drink #,39,,,,20
"Chocolate, 2% fat, prepared from commercial mousse mix with water",31,,,,20
"Chocolate, dark #",35,,,,25
"Chocolate, dark, Dove®",23,,,,25
"Chocolate, lactose-free, weight management drink #",29,,,,20
"Chocolate, milk, Meiji brand",39,,,,25
"Chocolate, milk, plain with sucrose #",34,,,,25
"Chocolate, milk, plain, low-sugar with maltitol #",35,,,,25
"Chocolate, white, Lindt™ Lindor",34,,,,25
"Chocolate, white, Milky Bar®",41,,,,25
"Chocolate, Xpress, soy bean, cereal and legume extract drink with fructose",39,,,,25
Choice grain crackers,49,,,,15
Christ thorn honey #,32,,,,5
Chunky Roast Chicken and Vegetable soup,52,,,,20
Citrus honey #,46,,,,5
Citrus Lemon Protein Bar,31,,,,25
"Citrus, prepared from commercial mousse mix with water",47,,,,20
"Coarse barley kernel bread, 75% barley kernels and 25% barley flour #",28,,,,15
"Coarse barley kernel bread, 80% intact kernels and 20% white wheat flour #",41,,,,15
"Coarse barley kernel bread, 80% scalded intact kernels and 20% white wheat flour #",34,,,,15
"Coarse rye kernel bread, 80% intact kernels and 20% white wheat flour #",41,,,,15
"Coarse wheat kernel bread, 80% intact kernels and 20% white wheat flour #",52,,,,15
Cocoavia™ Crispy Chocolate bar,33,,,,25
Cocoavia™ high flavanol chocolate covered almonds,21,,,,25
"Coconut sugar, organic, Loving Earth™ brand",54,,,,5
"Coffee chocolate flavored milk, Masters® mocha",32,,,,20
"Coffee Liquid Breakfast, Devondale Fast Start",39,,,,25
"Cookie, decreased GI variant (sugar-to-flour ratio: 0.45)",37,,,,20
"Cookie, fiber enriched",42,,,,20
"Corn tortilla, made from white corn, Diego's brand",49,,,,15
"Corn tortilla, made from white corn, gluten-free, Mission®",52,,,,15
"Cornflakes™ (Kellogg's Inc., South Korea) #",52,,,,20
"Cowpea, dried, soaked overnight, boiled for 60 min, served with 20 g coconut scrapings #",39,,,,15
"Cowpeas (Vigna unguiculata L. Walp.), soaked overnight, boiled, cooled overnight, microwaved #",7,,,,15
"Cowpeas (Vigna unguiculata L. Walp.), soaked overnight, boiled, cooled overnight, microwaved #",11,,,,15
Cracker,51,,,,15
"Cranberry & Chia, Uncle Toby’s® Oats Super Blends Protein, prepared with water",52,,,,20
Cranberry juice cocktail,52,,,,15
"Cranberry, Blueberry bar, Fruit & Yogurt Cranberry Blueberry Bars (Soy), President's Choice® Blue Menu™",33,,,,25
"Crispbread, soft wheat flour (54%), rye flour (36%), pumpkin seeds (7.5%) (Spianate croccanti con semi di zucca, Grancereale)",53,,,,15
Crusty malted wheat bread,52,,,,15
"Crystalline short-chain ?-glucan (CSCA) starch, made from waxy maize starch (Ingredion, Bridgewater, NJ, USA), suspended in 298 mL water #",21,,,,45
"Crème fraiche dessert, peach",28,,,,20
"Crème fraiche dessert, raspberry",30,,,,20
"Cultured Multivitamin Milk Fruit Drink, Vitalise",24,,,,20
"Custard apple, raw, flesh only",54,,,,15
"Custard, home made from milk, egg, wheat starch, and sugar #",43,,,,20
"Custard, low-fat, trifle flavored",30,,,,20
"Custard, low-fat, vanilla flavored",29,,,,20
Dairy beverage with flaxseed gum (2.5 g fiber),54,,,,20
"Dark Red Kidney beans, canned in brine, drained, Edgell's™ brand",43,,,,15
"Dark/Swiss rye, Bürgen™ (Tip Top Bakeries, Australia) #",55,,,,15
"Date spread, Divine",29,,,,15
"Dates Syrup, Gurun Emas",54,,,,5
"Dates, Barhi variety, dried and vacuum packed #",50,,,,15
"Dates, Bo ma'an variety",46,,,,15
"Dates, Bo ma'an variety, dried and vacuum packed #",31,,,,15
"Dates, Bo ma'an, Tamer stage (Al Saad Date factory, Al Ain, UAE) #",52,,,,15
"Dates, Dabbas variety",49,,,,15
"Dates, Dabbas, Tamer stage (Al Saad Date factory, Al Ain, UAE) #",50,,,,15
"Dates, Deglet noir variety",52,,,,15
"Dates, Fara'd variety",54,,,,15
"Dates, Fara'd, Tamer stage (Al Saad Date factory, Al Ain, UAE) #",46,,,,15
"Dates, Fardh variety, from A'Dhahira #",48,,,,15
"Dates, Fardh variety, from Al Batinah #",51,,,,15
"Dates, Fardh variety, mean of 3 regions #",52,,,,15
"Dates, H'mira variety",48,,,,15
"Dates, Khalas (Phoenix dactylifera L.)",55,,,,15
"Dates, Khalas (Rutab, soft early ripened) variety",47,,,,15
"Dates, Khalas (Tamer, sun dried stored in traditional Bedu manner) variety",45,,,,15
"Dates, Khalas variet",55,,,,15
